iter	Passed	Remaining
0	52	41887
1	108	43146
2	159	42479
3	203	40548
4	244	38894
5	266	35323
6	301	34194
7	352	34861
8	401	35292
9	443	35073
10	487	34938
11	529	34775
12	578	35040
13	635	35685
14	699	36620
15	746	36555
16	801	36913
17	863	37510
18	919	37779
19	968	37776
20	1024	37993
21	1081	38229
22	1144	38665
23	1277	41304
24	1346	41728
25	1409	41967
26	1455	41680
27	1495	41229
28	1511	40179
29	1553	39866
30	1597	39635
31	1643	39436
32	1711	39780
33	1767	39823
34	1811	39585
35	1858	39443
36	1900	39196
37	1945	39012
38	1987	38785
39	2027	38518
40	2061	38154
41	2103	37970
42	2135	37597
43	2171	37316
44	2209	37067
45	2251	36912
46	2297	36810
47	2341	36690
48	2386	36574
49	2451	36771
50	2665	39142
51	2867	41244
52	3111	43856
53	3334	46066
54	3523	47724
55	3623	48143
56	3740	48762
57	3790	48495
58	3834	48159
59	3876	47805
60	3917	47454
61	3949	47011
62	3983	46603
63	4016	46184
64	4050	45797
65	4088	45469
66	4121	45089
67	4155	44732
68	4191	44403
69	4227	44091
70	4257	43712
71	4293	43407
72	4326	43085
73	4362	42798
74	4395	42492
75	4424	42147
76	4511	42365
77	4603	42613
78	4679	42706
79	4714	42430
80	4746	42133
81	4777	41833
82	4811	41565
83	4846	41307
84	4893	41160
85	5001	41524
86	5154	42246
87	5215	42202
88	5271	42115
89	5311	41903
90	5369	41834
91	5424	41744
92	5470	41585
93	5510	41384
94	5544	41145
95	5578	40910
96	5612	40679
97	5646	40448
98	5682	40236
99	5712	39988
100	5744	39756
101	5776	39530
102	5808	39304
103	5860	39219
104	5986	39626
105	6089	39869
106	6126	39679
107	6167	39517
108	6204	39330
109	6236	39122
110	6269	38914
111	6302	38714
112	6334	38512
113	6364	38295
114	6399	38118
115	6432	37927
116	6466	37748
117	6500	37570
118	6531	37376
119	6563	37195
120	6594	37007
121	6627	36830
122	6700	36879
123	6737	36729
124	6783	36631
125	6900	36913
126	7041	37314
127	7088	37215
128	7122	37045
129	7157	36890
130	7189	36716
131	7224	36559
132	7256	36393
133	7289	36229
134	7319	36057
135	7367	35970
136	7528	36435
137	7633	36619
138	7785	37022
139	7962	37538
140	8118	37942
141	8179	37903
142	8227	37801
143	8310	37859
144	8393	37915
145	8498	38068
146	8643	38394
147	8679	38236
148	8711	38060
149	8740	37875
150	8793	37796
151	8934	38088
152	8989	38016
153	9029	37876
154	9063	37717
155	9182	37905
156	9320	38171
157	9424	38293
158	9527	38411
159	9591	38367
160	9631	38226
161	9670	38083
162	9701	37912
163	9735	37753
164	9769	37597
165	9804	37445
