iter	Passed	Remaining
0	34	27881
1	72	28939
2	105	28011
3	143	28460
4	176	28092
5	195	25874
6	231	26211
7	264	26142
8	301	26495
9	339	26817
10	375	26905
11	410	26974
12	447	27084
13	483	27160
14	519	27177
15	554	27151
16	588	27125
17	626	27206
18	671	27608
19	707	27602
20	753	27957
21	801	28337
22	850	28744
23	885	28622
24	918	28466
25	951	28315
26	965	27637
27	999	27557
28	1034	27506
29	1058	27161
30	1091	27064
31	1129	27113
32	1166	27104
33	1200	27046
34	1233	26968
35	1271	26981
36	1308	26976
37	1346	27002
38	1381	26960
39	1412	26845
40	1446	26774
41	1478	26683
42	1512	26626
43	1548	26598
44	1582	26545
45	1616	26502
46	1653	26493
47	1691	26493
48	1723	26419
49	1760	26410
50	1805	26517
51	1845	26541
52	1888	26611
53	1928	26637
54	1970	26685
55	2005	26645
56	2040	26596
57	2079	26608
58	2115	26568
59	2150	26521
60	2183	26449
61	2217	26398
62	2250	26330
63	2285	26278
64	2324	26282
65	2357	26220
66	2393	26181
67	2430	26166
68	2462	26091
69	2499	26065
70	2532	26001
71	2566	25948
72	2600	25899
73	2635	25860
74	2670	25813
75	2704	25764
76	2738	25716
77	2771	25653
78	2811	25658
79	2843	25587
80	2877	25542
81	2914	25518
82	2947	25464
83	2980	25409
84	3013	25351
85	3046	25289
86	3080	25246
87	3113	25190
88	3146	25136
89	3179	25082
90	3212	25031
91	3246	24985
92	3282	24957
93	3327	24989
94	3370	25010
95	3412	25023
96	3457	25056
97	3499	25065
98	3532	25014
99	3567	24970
100	3598	24906
101	3634	24868
102	3669	24832
103	3702	24781
104	3738	24747
105	3775	24721
106	3808	24664
107	3839	24604
108	3872	24550
109	3908	24517
110	3942	24472
111	3978	24436
112	4012	24392
113	4044	24336
114	4078	24294
115	4110	24239
116	4143	24189
117	4183	24179
118	4216	24131
119	4250	24084
120	4285	24051
121	4319	24003
122	4350	23946
123	4384	23904
124	4417	23854
125	4451	23811
126	4484	23765
127	4518	23720
128	4550	23670
129	4584	23628
130	4617	23581
131	4650	23535
132	4683	23488
133	4715	23436
134	4828	23782
135	4878	23820
136	4912	23775
137	4945	23724
138	4980	23684
139	5015	23643
140	5051	23607
141	5084	23560
142	5116	23505
143	5150	23463
144	5183	23414
145	5217	23371
146	5252	23331
147	5291	23310
148	5322	23256
149	5354	23201
150	5389	23165
151	5422	23119
152	5457	23077
153	5492	23040
154	5524	22990
155	5559	22949
156	5591	22898
157	5624	22854
158	5657	22805
159	5691	22767
160	5724	22720
161	5760	22686
162	5794	22646
163	5830	22612
164	5864	22568
165	5898	22529
166	5929	22476
167	5964	22437
168	5997	22394
169	6032	22354
170	6066	22314
171	6098	22267
172	6133	22229
173	6166	22184
174	6199	22140
175	6232	22098
176	6272	22079
177	6308	22045
178	6342	22004
179	6376	21963
180	6414	21937
181	6449	21898
182	6487	21871
183	6521	21832
184	6557	21797
185	6591	21758
186	6625	21717
187	6663	21690
188	6697	21653
189	6730	21609
190	6765	21572
191	6801	21537
192	6833	21493
193	6869	21457
194	6901	21412
195	6932	21363
196	6966	21323
197	6997	21275
198	7031	21235
199	7065	21195
200	7101	21163
201	7136	21127
202	7169	21084
203	7201	21040
204	7240	21014
205	7275	20979
206	7308	20937
207	7343	20900
208	7378	20863
209	7410	20819
210	7445	20782
211	7477	20738
212	7512	20703
213	7545	20662
214	7581	20628
215	7617	20595
216	7664	20591
217	7708	20579
218	7751	20564
219	7791	20540
220	7823	20498
221	7859	20461
222	7893	20424
223	7926	20382
224	7962	20348
225	7995	20306
226	8031	20272
227	8067	20239
228	8101	20200
229	8136	20164
230	8170	20124
231	8203	20085
232	8237	20046
233	8274	20014
234	8307	19974
235	8341	19934
236	8378	19902
237	8411	19863
238	8450	19835
239	8483	19795
240	8518	19757
241	8551	19718
242	8584	19676
243	8618	19639
244	8652	19599
245	8687	19565
246	8723	19530
247	8765	19510
248	8798	19468
249	8831	19429
250	8865	19390
251	8897	19349
252	8935	19318
253	8966	19274
254	9000	19235
255	9033	19195
256	9064	19151
257	9097	19112
258	9132	19076
259	9170	19045
260	9206	19013
261	9243	18981
262	9277	18943
263	9311	18906
264	9346	18869
265	9378	18826
266	9411	18787
267	9444	18747
268	9478	18710
269	9511	18671
270	9545	18633
271	9579	18596
272	9611	18554
273	9645	18515
274	9679	18478
275	9714	18442
276	9753	18414
277	9787	18378
278	9822	18343
279	9857	18306
280	9891	18268
281	9923	18227
282	9957	18190
283	9993	18156
284	10028	18121
285	10061	18081
286	10092	18040
287	10127	18004
288	10163	17970
289	10195	17930
290	10233	17900
291	10268	17863
292	10303	17828
293	10336	17789
294	10370	17752
295	10404	17716
296	10437	17677
297	10471	17640
298	10505	17602
299	10540	17566
300	10575	17531
301	10609	17494
302	10642	17456
303	10678	17422
304	10709	17381
305	10746	17349
306	10781	17314
307	10820	17285
308	10853	17246
309	10886	17207
310	10919	17168
311	10953	17132
312	10985	17092
313	11018	17054
314	11053	17019
315	11086	16980
316	11122	16946
317	11156	16910
318	11187	16868
319	11227	16841
320	11260	16802
321	11296	16769
322	11330	16732
323	11364	16695
324	11397	16657
325	11431	16620
326	11464	16583
327	11496	16543
328	11529	16505
329	11565	16471
330	11599	16435
331	11640	16409
332	11674	16371
333	11708	16336
334	11743	16300
335	11775	16260
336	11809	16225
337	11843	16187
338	11876	16151
339	11910	16114
340	11950	16085
341	11992	16059
342	12027	16024
343	12068	15997
344	12111	15973
345	12154	15947
346	12187	15910
347	12224	15877
348	12257	15839
349	12288	15799
350	12321	15761
351	12354	15724
352	12389	15688
353	12424	15653
354	12457	15615
355	12490	15578
356	12522	15539
357	12555	15501
358	12588	15463
359	12624	15430
360	12663	15399
361	12695	15360
362	12731	15327
363	12764	15289
364	12798	15253
365	12832	15216
366	12866	15180
367	12901	15145
368	12935	15109
369	12969	15072
370	13001	15033
371	13034	14996
372	13065	14957
373	13098	14919
374	13134	14885
375	13168	14849
376	13204	14815
377	13236	14777
378	13269	14740
379	13306	14707
380	13340	14671
381	13375	14635
382	13409	14599
383	13447	14568
384	13488	14539
385	13528	14509
386	13570	14482
387	13611	14453
388	13652	14424
389	13692	14394
390	13732	14364
391	13767	14329
392	13802	14294
393	13835	14256
394	13869	14220
395	13903	14183
396	13936	14147
397	13970	14111
398	14005	14075
399	14038	14038
400	14071	14001
401	14104	13964
402	14138	13928
403	14175	13894
404	14212	13861
405	14243	13822
406	14277	13786
407	14310	13749
408	14345	13713
409	14377	13675
410	14409	13638
411	14445	13604
412	14480	13568
413	14513	13532
414	14547	13495
415	14583	13461
416	14617	13425
417	14650	13388
418	14687	13355
419	14723	13320
420	14758	13286
421	14795	13252
422	14829	13216
423	14862	13179
424	14896	13143
425	14928	13105
426	14961	13069
427	15000	13037
428	15034	13001
429	15066	12964
430	15099	12927
431	15132	12890
432	15164	12853
433	15203	12821
434	15235	12784
435	15270	12748
436	15304	12712
437	15338	12676
438	15373	12641
439	15409	12607
440	15442	12570
441	15474	12533
442	15510	12499
443	15542	12462
444	15575	12425
445	15608	12389
446	15641	12352
447	15692	12329
448	15742	12306
449	15788	12279
450	15823	12244
451	15856	12208
452	15889	12171
453	15921	12134
454	15957	12099
455	15992	12064
456	16025	12027
457	16059	11991
458	16093	11956
459	16124	11918
460	16156	11880
461	16193	11847
462	16224	11809
463	16261	11775
464	16297	11741
465	16331	11705
466	16365	11669
467	16399	11634
468	16434	11598
469	16467	11562
470	16499	11525
471	16533	11489
472	16567	11453
473	16601	11418
474	16632	11380
475	16669	11346
476	16703	11310
477	16733	11272
478	16766	11236
479	16798	11199
480	16832	11163
481	16865	11127
482	16899	11091
483	16931	11054
484	16965	11018
485	16998	10982
486	17029	10945
487	17063	10909
488	17099	10875
489	17136	10841
490	17171	10806
491	17205	10770
492	17240	10736
493	17275	10701
494	17308	10664
495	17341	10628
496	17376	10593
497	17408	10556
498	17441	10520
499	17476	10485
500	17515	10453
501	17550	10418
502	17581	10381
503	17616	10346
504	17653	10312
505	17690	10278
506	17726	10244
507	17760	10209
508	17795	10173
509	17830	10138
510	17870	10107
511	17912	10075
512	17949	10041
513	17984	10007
514	18016	9970
515	18049	9934
516	18083	9898
517	18112	9860
518	18147	9825
519	18186	9792
520	18220	9756
521	18251	9720
522	18285	9684
523	18319	9649
524	18354	9614
525	18387	9578
526	18419	9541
527	18453	9506
528	18488	9471
529	18519	9434
530	18552	9398
531	18583	9361
532	18617	9326
533	18653	9291
534	18688	9256
535	18722	9221
536	18763	9189
537	18798	9154
538	18829	9117
539	18863	9082
540	18895	9045
541	18929	9010
542	18964	8975
543	18997	8940
544	19034	8906
545	19071	8872
546	19113	8840
547	19164	8812
548	19200	8778
549	19234	8743
550	19268	8707
551	19304	8673
552	19339	8637
553	19371	8601
554	19405	8566
555	19441	8531
556	19474	8496
557	19508	8460
558	19542	8425
559	19576	8389
560	19608	8353
561	19642	8318
562	19675	8282
563	19709	8247
564	19745	8212
565	19783	8178
566	19821	8145
567	19858	8111
568	19893	8076
569	19934	8043
570	19973	8010
571	20014	7977
572	20056	7945
573	20087	7909
574	20121	7873
575	20155	7838
576	20189	7803
577	20224	7767
578	20302	7749
579	20349	7718
580	20384	7683
581	20418	7648
582	20451	7612
583	20482	7575
584	20515	7540
585	20551	7505
586	20585	7469
587	20619	7434
588	20652	7398
589	20684	7362
590	20718	7326
591	20751	7291
592	20789	7256
593	20831	7224
594	20866	7189
595	20899	7153
596	20930	7117
597	20963	7081
598	20995	7045
599	21029	7009
600	21062	6974
601	21099	6939
602	21133	6904
603	21168	6869
604	21203	6834
605	21238	6799
606	21273	6763
607	21306	6728
608	21338	6692
609	21371	6656
610	21403	6620
611	21439	6585
612	21471	6550
613	21504	6514
614	21537	6478
615	21573	6444
616	21609	6409
617	21646	6374
618	21680	6339
619	21712	6303
620	21746	6268
621	21781	6233
622	21815	6197
623	21855	6164
624	21888	6128
625	21923	6093
626	21957	6058
627	21989	6022
628	22024	5987
629	22060	5952
630	22097	5918
631	22139	5885
632	22178	5851
633	22219	5817
634	22258	5783
635	22295	5749
636	22332	5714
637	22368	5679
638	22401	5644
639	22435	5608
640	22468	5573
641	22503	5538
642	22536	5502
643	22570	5467
644	22605	5432
645	22642	5397
646	22675	5362
647	22706	5326
648	22745	5292
649	22778	5256
650	22812	5221
651	22846	5186
652	22885	5151
653	22922	5117
654	22956	5081
655	22989	5046
656	23026	5011
657	23060	4976
658	23094	4941
659	23128	4905
660	23161	4870
661	23193	4834
662	23228	4799
663	23261	4764
664	23293	4728
665	23326	4693
666	23360	4658
667	23397	4623
668	23433	4588
669	23467	4553
670	23501	4518
671	23533	4482
672	23567	4447
673	23603	4412
674	23643	4378
675	23689	4345
676	23729	4311
677	23773	4277
678	23810	4243
679	23847	4208
680	23880	4172
681	23915	4137
682	23947	4102
683	23981	4067
684	24018	4032
685	24053	3997
686	24086	3961
687	24142	3930
688	24193	3897
689	24239	3864
690	24275	3829
691	24310	3794
692	24343	3758
693	24377	3723
694	24409	3687
695	24443	3652
696	24480	3617
697	24513	3582
698	24552	3547
699	24584	3512
700	24619	3476
701	24654	3441
702	24694	3407
703	24728	3372
704	24758	3336
705	24794	3301
706	24829	3266
707	24863	3230
708	24896	3195
709	24928	3159
710	24963	3124
711	24998	3089
712	25033	3054
713	25068	3019
714	25105	2984
715	25140	2949
716	25172	2913
717	25206	2878
718	25241	2843
719	25275	2808
720	25308	2773
721	25341	2737
722	25379	2702
723	25410	2667
724	25443	2632
725	25475	2596
726	25511	2561
727	25545	2526
728	25579	2491
729	25614	2456
730	25648	2420
731	25681	2385
732	25716	2350
733	25749	2315
734	25790	2280
735	25824	2245
736	25860	2210
737	25893	2175
738	25930	2140
739	25975	2106
740	26017	2071
741	26064	2037
742	26110	2003
743	26144	1967
744	26178	1932
745	26215	1897
746	26250	1862
747	26284	1827
748	26318	1792
749	26354	1756
750	26389	1721
751	26422	1686
752	26455	1651
753	26487	1615
754	26522	1580
755	26556	1545
756	26596	1510
757	26633	1475
758	26666	1440
759	26699	1405
760	26732	1369
761	26765	1334
762	26799	1299
763	26833	1264
764	26868	1229
765	26900	1194
766	26934	1158
767	26966	1123
768	26999	1088
769	27035	1053
770	27068	1018
771	27110	983
772	27144	948
773	27176	912
774	27208	877
775	27242	842
776	27277	807
777	27311	772
778	27345	737
779	27379	702
780	27410	666
781	27449	631
782	27482	596
783	27516	561
784	27548	526
785	27583	491
786	27623	456
787	27659	421
788	27695	386
789	27731	351
790	27764	315
791	27799	280
792	27832	245
793	27871	210
794	27906	175
795	27941	140
796	27973	105
797	28008	70
798	28042	35
799	28075	0
