iter	RMSE
0	2962.402461
1	2883.892858
2	2808.325362
3	2735.050957
4	2664.234451
5	2596.025634
6	2530.103689
7	2466.324463
8	2404.415028
9	2345.039527
10	2287.157435
11	2231.342868
12	2177.482405
13	2125.536847
14	2075.509854
15	2027.32797
16	1980.82685
17	1935.99614
18	1892.943017
19	1851.539915
20	1811.491648
21	1772.478852
22	1735.394342
23	1699.459974
24	1664.927094
25	1631.795115
26	1600.251018
27	1569.584011
28	1540.122596
29	1511.925665
30	1484.849016
31	1458.999524
32	1434.191104
33	1410.181503
34	1386.871504
35	1364.207032
36	1343.382907
37	1323.306158
38	1303.540386
39	1284.779067
40	1267.446414
41	1249.861598
42	1233.187797
43	1217.242593
44	1202.199413
45	1187.68812
46	1174.131368
47	1160.634202
48	1147.97535
49	1135.673123
50	1124.13565
51	1113.20224
52	1103.168788
53	1093.165822
54	1083.593105
55	1074.725398
56	1065.908405
57	1058.002823
58	1049.97252
59	1042.325519
60	1035.293077
61	1028.732202
62	1022.070888
63	1016.186614
64	1010.538171
65	1005.058199
66	999.7511422
67	994.8714455
68	990.0421748
69	985.3660983
70	981.1945176
71	976.9117945
72	973.0348219
73	969.4161955
74	965.9350044
75	962.3640733
76	959.049431
77	955.7861254
78	952.5979226
79	949.8083595
80	947.0943849
81	944.481926
82	941.8793522
83	939.5690302
84	937.2294072
85	934.9005313
86	932.7233595
87	930.6147849
88	928.6251624
89	926.8555883
90	925.0219973
91	923.4102066
92	921.9020356
93	920.2256916
94	918.5168416
95	917.0564469
96	915.8071002
97	914.5603607
98	913.4869779
99	912.288736
100	911.0951902
101	909.7991011
102	908.8667133
103	907.8207219
104	906.905106
105	905.7817629
106	904.7735383
107	903.8853272
108	903.0953949
109	902.1359433
110	901.2742271
111	900.4795779
112	899.6305293
113	898.9910392
114	898.2114482
115	897.5211345
116	896.7846553
117	896.1124706
118	895.4145795
119	894.6621274
120	894.0051533
121	893.3336378
122	892.6420767
123	892.0260358
124	891.5208138
125	891.0200475
126	890.4879185
127	889.84084
128	889.2943942
129	888.6687525
130	888.1501927
131	887.8301142
132	887.436854
133	886.9618069
134	886.5362669
135	886.1572072
136	885.60501
137	885.2213648
138	884.777903
139	884.3584934
140	883.9216248
141	883.5403756
142	883.1524889
143	882.7550009
144	882.3634829
145	881.9345847
146	881.5750371
147	881.1357696
148	880.8057646
149	880.495409
150	880.1888336
151	879.8854237
152	879.5048018
153	879.1313808
154	878.8847005
155	878.6370969
156	878.1870008
157	877.904291
158	877.5544569
159	877.2242359
160	876.9888891
161	876.6671262
162	876.3590527
163	876.1865137
164	875.8865431
165	875.6508686
166	875.4000526
167	875.0845524
168	874.8268755
169	874.5433729
170	874.286667
171	874.0405703
172	873.7506734
173	873.4952039
174	873.2274018
175	873.0197288
176	872.7309245
177	872.4978011
178	872.2977551
179	872.0647716
180	871.8052419
181	871.6102986
182	871.3892489
183	871.2135903
184	870.989896
185	870.6830174
186	870.4818337
187	870.2659466
188	870.0750608
189	869.8956011
190	869.6715385
191	869.5217784
192	869.3041184
193	869.1192791
194	868.8382459
195	868.6820609
196	868.5047846
197	868.3628663
198	868.2299117
199	868.0383337
200	867.8531614
201	867.6711519
202	867.4927323
203	867.3068707
204	867.1072289
205	866.9870492
206	866.8189533
207	866.6282737
208	866.4565691
209	866.2942139
210	866.1066032
211	865.8989864
212	865.7331792
213	865.5589634
214	865.4387479
215	865.268522
216	865.1046801
217	864.9397825
218	864.7938693
219	864.6783471
220	864.5765938
221	864.4624442
222	864.3367856
223	864.1435581
224	863.9896196
225	863.7930232
226	863.5862886
227	863.4329941
228	863.2829791
229	863.13749
230	863.0004635
231	862.8396187
232	862.7281849
233	862.4993764
234	862.3463168
235	862.1907088
236	862.0591417
237	861.9883004
238	861.8631912
239	861.6889257
240	861.4862544
241	861.3539506
242	861.1312194
243	860.9945674
244	860.8600583
245	860.6959159
246	860.5802755
247	860.5091995
248	860.4258388
249	860.2162487
250	860.0420595
251	859.9112544
252	859.7473493
253	859.6625344
254	859.5585306
255	859.4296693
256	859.3023548
257	859.2200769
258	859.1047474
259	858.9484002
260	858.8005795
261	858.6587057
262	858.5148174
263	858.408077
264	858.2863021
265	858.207666
266	858.1315191
267	858.0635562
268	857.9238292
269	857.7597412
270	857.679791
271	857.624163
272	857.5180786
273	857.3646537
274	857.2395522
275	857.1477185
276	857.0357865
277	856.8778754
278	856.7582179
279	856.6312944
280	856.5276424
281	856.4033
282	856.2866756
283	856.1696108
284	856.0985231
285	855.9857957
286	855.863364
287	855.7517202
288	855.6383836
289	855.540682
290	855.421819
291	855.3593244
292	855.2588398
293	855.1992881
294	855.1108276
295	855.0578108
296	854.9407297
297	854.8535046
298	854.727196
299	854.5707485
300	854.4741138
301	854.3103083
302	854.2509929
303	854.176136
304	854.0907654
305	854.0305595
306	853.9241327
307	853.8256178
308	853.7523122
309	853.6766308
310	853.6199012
311	853.5304853
312	853.4515786
313	853.3270201
314	853.2076748
315	853.1141596
316	852.9876024
317	852.8726798
318	852.8109096
319	852.6859855
320	852.5902458
321	852.5307801
322	852.4694814
323	852.3876046
324	852.2929628
325	852.239754
326	852.1380793
327	852.0538811
328	851.990931
329	851.8818934
330	851.7823595
331	851.6953317
332	851.6597215
333	851.5726724
334	851.4661766
335	851.3668507
336	851.2346102
337	851.1336449
338	851.0608117
339	850.9864902
340	850.9113327
341	850.8154834
342	850.7722981
343	850.7337714
344	850.6365375
345	850.5310124
346	850.464885
347	850.370897
348	850.2811229
349	850.1800099
350	850.1171263
351	850.0854872
352	849.9659419
353	849.8500986
354	849.7676674
355	849.688698
356	849.6136428
357	849.5487642
358	849.485708
359	849.3731806
360	849.2514125
361	849.1900324
362	849.1041747
363	848.9915209
364	848.8682114
365	848.7257749
366	848.6227207
367	848.5459497
368	848.5045756
369	848.4577558
370	848.402838
371	848.3379734
372	848.2504544
373	848.2015118
374	848.0870245
375	848.0246577
376	847.9440089
377	847.8447069
378	847.7674681
379	847.6969677
380	847.6259195
381	847.5394579
382	847.4498794
383	847.3962722
384	847.2704486
385	847.1855865
386	847.1222611
387	847.0284118
388	846.9563534
389	846.8784283
390	846.795219
391	846.7028675
392	846.6157759
393	846.534415
394	846.4016143
395	846.2915925
396	846.254115
397	846.2071889
398	846.1550705
399	846.1024206
400	846.0396777
401	845.9919221
402	845.8979393
403	845.8052255
404	845.7625625
405	845.6910908
406	845.6064362
407	845.5434541
408	845.4641354
409	845.3576139
410	845.2865042
411	845.1749614
412	845.0600468
413	844.9923797
414	844.9304865
415	844.8173053
416	844.7056945
417	844.636569
418	844.5371945
419	844.4515399
420	844.3353079
421	844.291003
422	844.2001628
423	844.0869387
424	843.989828
425	843.9558076
426	843.8717039
427	843.7935639
428	843.7093808
429	843.6098017
430	843.5126455
431	843.4632029
432	843.4350752
433	843.3458044
434	843.2444958
435	843.1687194
436	843.0842016
437	843.0136249
438	842.9129666
439	842.8229731
440	842.7899697
441	842.698785
442	842.6128358
443	842.5299227
444	842.458232
445	842.3910652
446	842.2851093
447	842.2177042
448	842.151657
449	842.114741
450	842.0495567
451	841.9881819
452	841.8919448
453	841.84996
454	841.7760158
455	841.6978582
456	841.5885366
457	841.5598854
458	841.4641421
459	841.432435
460	841.4064258
461	841.3041428
462	841.2709798
463	841.1717235
464	841.0861545
465	841.0083443
466	840.9260939
467	840.8565699
468	840.7425808
469	840.6418992
470	840.6230827
471	840.5321128
472	840.4131099
473	840.3544665
474	840.2743859
475	840.2395573
476	840.1912274
477	840.1551435
478	840.0486706
479	839.9379062
480	839.8536739
481	839.8241972
482	839.7472009
483	839.6579675
484	839.5823125
485	839.4699607
486	839.4396028
487	839.4047679
488	839.3342851
489	839.3050741
490	839.2023726
491	839.1253672
492	839.0472741
493	838.9649292
494	838.9114625
495	838.8587431
496	838.8133492
497	838.7298285
498	838.6572581
499	838.5471378
500	838.4439345
501	838.3621265
502	838.3090579
503	838.2266069
504	838.2020919
505	838.1328702
506	838.0673563
507	838.0087792
508	837.9431255
509	837.9021412
510	837.834421
511	837.7486292
512	837.6420559
513	837.5939335
514	837.5492273
515	837.4693435
516	837.4416534
517	837.3799464
518	837.3285569
519	837.2456182
520	837.1827319
521	837.1393417
522	837.0955081
523	837.0052738
524	836.9341255
525	836.8506593
526	836.7992904
527	836.769273
528	836.7030272
529	836.6062219
530	836.5296269
531	836.5091772
532	836.4226287
533	836.3434087
534	836.2832492
535	836.2534896
536	836.1542676
537	836.0652468
538	835.9728887
539	835.8839276
540	835.8400372
541	835.7665068
542	835.7357281
543	835.6345547
544	835.5507403
545	835.47659
546	835.4010252
547	835.3221492
548	835.2572814
549	835.1840435
550	835.1207229
551	835.0536767
552	834.9866292
553	834.9603884
554	834.8994156
555	834.8348101
556	834.8194401
557	834.7417501
558	834.6719737
559	834.6076482
