iter	Passed	Remaining
0	31	24831
1	65	25990
2	98	26212
3	133	26565
4	168	26726
5	200	26577
6	238	27011
7	274	27140
8	307	27049
9	341	26983
10	376	27008
11	412	27099
12	449	27214
13	482	27073
14	517	27105
15	551	27037
16	586	26995
17	620	26946
18	655	26937
19	687	26807
20	719	26682
21	753	26650
22	786	26564
23	821	26547
24	859	26637
25	897	26731
26	930	26650
27	964	26592
28	1000	26601
29	1020	26204
30	1059	26274
31	1091	26186
32	1131	26290
33	1170	26363
34	1202	26289
35	1236	26236
36	1276	26328
37	1311	26297
38	1345	26262
39	1382	26260
40	1418	26253
41	1460	26351
42	1496	26352
43	1538	26439
44	1577	26464
45	1615	26480
46	1633	26177
47	1673	26211
48	1714	26272
49	1751	26268
50	1789	26282
51	1828	26295
52	1868	26332
53	1907	26356
54	1947	26383
55	1987	26409
56	2023	26382
57	2061	26367
58	2096	26326
59	2132	26300
60	2168	26266
61	2202	26212
62	2234	26140
63	2268	26089
64	2303	26050
65	2335	25969
66	2371	25948
67	2405	25891
68	2438	25834
69	2471	25775
70	2505	25723
71	2545	25736
72	2580	25698
73	2615	25661
74	2649	25614
75	2682	25557
76	2715	25501
77	2747	25431
78	2781	25388
79	2814	25328
80	2848	25289
81	2887	25279
82	2919	25223
83	2956	25200
84	2991	25160
85	3025	25118
86	3059	25075
87	3097	25060
88	3132	25027
89	3167	24988
90	3206	24979
91	3244	24971
92	3284	24970
93	3325	24974
94	3340	24788
95	3382	24805
96	3419	24780
97	3456	24763
98	3493	24734
99	3529	24703
100	3563	24660
101	3602	24651
102	3637	24618
103	3674	24593
104	3711	24568
105	3747	24536
106	3788	24534
107	3822	24494
108	3860	24475
109	3897	24447
110	3937	24440
111	3972	24402
112	4009	24374
113	4043	24332
114	4088	24353
115	4129	24349
116	4174	24371
117	4220	24395
118	4266	24413
119	4307	24410
120	4346	24391
121	4383	24361
122	4421	24334
123	4454	24285
124	4491	24254
125	4524	24202
126	4561	24172
127	4596	24132
128	4637	24119
129	4682	24133
130	4731	24162
131	4779	24186
132	4830	24223
133	4874	24227
134	4912	24200
135	4947	24153
136	4983	24117
137	5018	24075
138	5058	24056
139	5094	24018
140	5131	23982
141	5171	23965
142	5208	23927
143	5251	23921
144	5288	23887
145	5326	23860
146	5365	23834
147	5402	23802
148	5440	23771
149	5480	23747
150	5515	23705
151	5551	23666
152	5598	23673
153	5642	23668
154	5687	23666
155	5730	23656
156	5777	23662
157	5815	23628
158	5856	23610
159	5895	23581
160	5936	23560
161	5971	23518
162	6009	23485
163	6044	23439
164	6081	23406
165	6118	23369
166	6154	23327
167	6189	23283
168	6227	23250
169	6265	23217
170	6304	23189
171	6346	23172
172	6384	23140
173	6419	23095
174	6455	23055
175	6491	23015
176	6529	22982
177	6566	22946
178	6604	22912
179	6639	22871
180	6679	22841
181	6716	22807
182	6754	22773
183	6789	22731
184	6833	22716
185	6871	22684
186	6910	22652
187	6943	22604
188	6979	22563
189	7014	22519
190	7051	22482
191	7086	22440
192	7122	22401
193	7163	22375
194	7196	22328
195	7232	22286
196	7268	22249
197	7308	22221
198	7347	22191
199	7383	22150
200	7420	22115
201	7455	22071
202	7493	22038
203	7526	21988
204	7566	21961
205	7605	21931
206	7641	21890
207	7679	21855
208	7717	21823
209	7756	21791
210	7791	21748
211	7828	21713
212	7863	21671
213	7899	21630
214	7936	21594
215	7972	21554
216	8008	21515
217	8043	21472
218	8081	21440
219	8117	21399
220	8154	21363
221	8187	21315
222	8225	21283
223	8260	21241
224	8299	21210
225	8336	21173
226	8374	21140
227	8414	21109
228	8451	21072
229	8487	21035
230	8521	20989
231	8558	20952
232	8597	20922
233	8634	20884
234	8668	20841
