iter	RMSE
0	2966.947212
1	2888.418907
2	2812.80023
3	2739.461404
4	2668.586312
5	2600.219671
6	2534.160866
7	2470.214112
8	2408.415009
9	2348.872598
10	2291.098632
11	2235.617642
12	2182.061357
13	2130.038723
14	2079.881282
15	2031.350599
16	1984.827776
17	1939.907538
18	1896.90938
19	1855.278294
20	1815.295466
21	1776.764914
22	1739.317154
23	1703.551024
24	1668.773351
25	1635.410612
26	1603.530822
27	1572.853976
28	1543.489502
29	1515.423221
30	1488.587738
31	1462.932085
32	1437.493126
33	1413.369344
34	1390.714472
35	1368.272707
36	1347.102932
37	1326.974824
38	1307.747095
39	1289.431447
40	1271.800811
41	1254.991017
42	1238.716705
43	1222.809141
44	1207.804382
45	1193.296777
46	1180.226867
47	1166.955496
48	1154.520238
49	1142.323764
50	1131.245933
51	1120.237218
52	1109.630046
53	1099.829317
54	1090.388881
55	1081.161484
56	1072.446755
57	1064.425722
58	1056.693387
59	1049.586281
60	1042.615648
61	1035.443424
62	1028.914957
63	1022.989261
64	1017.20063
65	1011.713884
66	1006.401948
67	1001.452853
68	996.3000101
69	991.7979772
70	987.3471228
71	983.1824843
72	979.3924466
73	975.4648635
74	972.1207477
75	968.5909774
76	965.0826648
77	961.9828557
78	958.888482
79	956.031023
80	953.3147284
81	950.6560222
82	948.1241463
83	945.6774664
84	943.1554885
85	940.9174982
86	938.8084147
87	936.746648
88	934.6300286
89	932.6256978
90	930.7689158
91	929.2161257
92	927.6929581
93	926.0359576
94	924.8418739
95	923.4342764
96	922.0679676
97	920.6799203
98	919.1427602
99	918.0651588
100	917.0502558
101	915.7839983
102	914.910089
103	913.8468499
104	912.7169746
105	911.642938
106	910.4634405
107	909.4778787
108	908.6029152
109	907.831817
110	907.0082779
111	906.1799032
112	905.3572978
113	904.5957063
114	903.7743023
115	903.0155257
116	902.3044668
117	901.4861247
118	900.7621804
119	900.121289
120	899.4704918
121	898.8947193
122	898.2670835
123	897.6777369
124	897.0603697
125	896.4407846
126	895.8068642
127	895.317676
128	894.7849874
129	894.1485
130	893.7491193
131	893.3394281
132	892.9472582
133	892.5137499
134	891.9447457
135	891.4321774
136	891.0188237
137	890.5221182
138	890.1768534
139	889.8876417
140	889.5339742
141	889.1752604
142	888.8127489
143	888.4749559
144	888.1122622
145	887.6519578
146	887.2488551
147	886.806871
148	886.484205
149	886.1812113
150	885.7943248
151	885.4231617
152	885.0789874
153	884.8523926
154	884.6030736
155	884.3669114
156	884.0414999
157	883.6869101
158	883.3674098
159	883.1771264
160	882.8429
161	882.5557482
162	882.2853824
163	882.0044798
164	881.5883413
165	881.3128314
166	880.9857557
167	880.6652978
168	880.3466615
169	880.0655086
170	879.8258412
171	879.5537119
172	879.3645938
173	879.0551754
174	878.7615364
175	878.4537145
176	878.1343168
177	877.8679678
178	877.6354325
179	877.3988696
180	877.2380849
181	877.0386913
182	876.836026
183	876.6470969
184	876.4576265
185	876.2953901
186	876.0316383
187	875.8483779
188	875.6463841
189	875.4486082
190	875.2146299
191	875.0106117
192	874.7886781
193	874.5152535
194	874.3431832
195	874.1643436
196	873.9902223
197	873.7711105
198	873.6145885
199	873.3258228
200	873.1480303
201	872.9673134
202	872.7849107
203	872.588552
204	872.3725406
205	872.1494501
206	872.0062527
207	871.8481931
208	871.746321
209	871.6107036
210	871.3908249
211	871.2076038
212	871.0586107
213	870.8824818
214	870.6871645
215	870.5799905
216	870.3509081
217	870.2140037
218	870.0615885
219	869.9035447
220	869.7301839
221	869.6270704
222	869.4159242
223	869.2671954
224	869.1126882
225	868.9480008
226	868.7609549
227	868.5710115
228	868.4199734
229	868.2989008
230	868.1605372
231	867.9868958
232	867.8741171
233	867.6778168
234	867.5286905
