iter	RMSE
0	2964.559659
1	2886.028498
2	2810.335437
3	2737.02084
4	2666.122103
5	2597.873328
6	2531.93077
7	2468.132722
8	2406.209772
9	2346.766387
10	2289.042287
11	2233.23753
12	2179.352533
13	2127.41263
14	2077.476466
15	2029.291155
16	1982.781582
17	1937.955661
18	1894.92308
19	1853.527038
20	1813.493062
21	1774.397391
22	1736.891038
23	1700.820601
24	1666.307909
25	1633.163573
26	1601.604209
27	1570.854696
28	1541.367181
29	1513.344545
30	1486.274509
31	1460.295038
32	1435.473904
33	1411.503664
34	1387.968127
35	1365.538555
36	1344.728887
37	1324.515755
38	1304.91266
39	1286.16586
40	1268.765619
41	1251.247392
42	1234.376876
43	1218.616564
44	1203.620328
45	1189.052434
46	1175.023808
47	1161.701132
48	1149.191229
49	1136.986884
50	1125.463229
51	1114.584061
52	1104.183631
53	1094.609644
54	1084.934345
55	1075.919802
56	1067.083017
57	1059.326909
58	1051.449987
59	1043.909025
60	1036.693253
61	1029.940458
62	1023.291345
63	1017.537889
64	1011.768565
65	1006.002749
66	1000.728738
67	995.5132218
68	990.9142443
69	986.4633668
70	981.7657072
71	977.2712779
72	973.3299316
73	969.6579256
74	965.8868537
75	962.3601103
76	959.0846063
77	956.0507511
78	953.0027623
79	950.2040009
80	947.3186369
81	944.8728571
82	942.4727366
83	940.084551
84	937.6909815
85	935.5022868
86	933.4841443
87	931.3463461
88	929.4370208
89	927.6329098
90	925.6324422
91	923.9202438
92	922.1577004
93	920.5932122
94	919.2188799
95	917.9477447
96	916.6499221
97	915.0699579
98	913.9660829
99	912.7593215
100	911.4538692
101	910.3524389
102	909.2191822
103	908.2154351
104	907.2903536
105	906.2977617
106	905.3595484
107	904.5237478
108	903.6706765
109	902.8365693
110	901.9338007
111	901.3038249
112	900.5265079
113	899.7207868
114	898.9239215
115	898.3544416
116	897.6225477
117	897.0180576
118	896.3156884
119	895.7553714
120	895.1038319
121	894.3980912
122	893.758298
123	893.0574125
124	892.5717256
125	891.9939714
126	891.4357909
127	890.9417888
128	890.4302826
129	890.0054165
130	889.4471828
131	888.9111432
132	888.4082331
133	887.9963758
134	887.5254501
135	886.9949504
136	886.5718439
137	886.1139466
138	885.7823351
139	885.4605219
140	885.080206
141	884.6863475
142	884.2625498
143	883.9351931
