iter	Passed	Remaining
0	34	27226
1	71	28581
2	110	29313
3	148	29599
4	185	29440
5	203	26875
6	241	27397
7	275	27269
8	318	27983
9	356	28172
10	394	28317
11	435	28573
12	473	28646
13	506	28454
14	545	28560
15	582	28534
16	620	28581
17	658	28625
18	694	28561
19	731	28543
20	767	28454
21	807	28550
22	845	28560
23	884	28586
24	923	28622
25	959	28552
26	973	27869
27	1008	27810
28	1044	27778
29	1071	27499
30	1110	27539
31	1159	27831
32	1278	29718
33	1342	30235
34	1382	30215
35	1421	30168
36	1456	30026
37	1495	29994
38	1533	29929
39	1570	29833
40	1610	29816
41	1644	29681
42	1686	29695
43	1724	29636
44	1762	29569
45	1797	29468
46	1836	29425
47	1875	29386
48	1914	29337
49	1949	29243
50	1988	29200
51	2014	28971
52	2047	28857
53	2084	28795
54	2125	28795
55	2163	28746
56	2201	28702
57	2239	28647
58	2274	28572
59	2312	28517
60	2354	28519
61	2389	28445
62	2426	28391
63	2462	28315
64	2500	28270
65	2540	28256
66	2577	28194
67	2613	28136
68	2652	28099
69	2691	28065
70	2733	28066
71	2773	28039
72	2812	28008
73	2850	27962
74	2886	27900
75	2922	27840
76	2961	27806
77	3001	27785
78	3037	27718
79	3074	27666
80	3116	27661
81	3152	27602
82	3188	27544
83	3224	27482
84	3264	27460
85	3300	27404
86	3345	27419
87	3395	27475
88	3438	27472
89	3488	27517
90	3541	27589
91	3587	27604
92	3622	27537
93	3662	27508
94	3697	27441
95	3732	27375
96	3773	27351
97	3814	27326
98	3851	27271
99	3890	27235
100	3928	27186
101	3962	27115
102	3999	27064
103	4034	26999
104	4076	26982
105	4110	26913
106	4144	26842
107	4180	26785
108	4220	26754
109	4257	26706
110	4294	26656
111	4337	26647
112	4373	26591
113	4411	26545
114	4446	26483
115	4483	26438
116	4520	26386
117	4559	26350
118	4594	26295
119	4637	26277
120	4672	26221
121	4706	26155
122	4742	26100
123	4778	26052
124	4827	26069
125	4871	26059
126	4919	26069
127	4958	26034
128	5004	26029
129	5050	26031
130	5087	25981
131	5124	25934
132	5162	25888
133	5198	25836
134	5233	25780
135	5271	25735
136	5315	25726
137	5351	25671
138	5388	25624
139	5422	25564
140	5463	25533
141	5499	25481
142	5534	25429
143	5575	25398
144	5613	25357
145	5648	25303
146	5684	25252
147	5721	25206
148	5760	25170
149	5798	25126
150	5842	25111
